股票代號,股票名稱,持有股數_昨日,持有股數_今日,股數變化,權重(%)_昨日,權重(%)_今日,權重變化(%),變化
3533,嘉澤端子工業,1000,0,-1000,0.0,0.0,0.0,刪除
2637,慧洋-KY,0,200000,200000,0.0,0.01,0.01,新增
3653,健策,2395000,2395000,0,4.15,4.57,0.42,權重增加
4979,華星光,2424000,2424000,0,0.43,0.45,0.02,權重增加
6191,精成科,3988000,3988000,0,0.11,0.12,0.01,權重增加
2383,台光電,4863000,4843000,-20000,10.14,9.96,-0.18,減少
2330,台積電,12134000,11884000,-250000,9.71,9.76,0.05,減少
3037,欣興,20330000,20300000,-30000,7.82,8.02,0.2,減少
2454,聯發科技,5448000,5348000,-100000,7.11,7.19,0.08,減少
3017,奇鋐科技,5900000,5899000,-1000,6.02,6.38,0.36,減少
2327,國巨*,25437000,25387000,-50000,4.92,5.11,0.19,減少
6669,緯穎科技服務,2246000,2226000,-20000,4.83,4.96,0.13,減少
2345,智邦科技,6594000,6564000,-30000,4.93,4.88,-0.05,減少
6223,旺矽科技,2443000,2442000,-1000,4.33,4.49,0.16,減少
2308,台達電,7070000,7040000,-30000,4.33,4.34,0.01,減少
3711,日月光投資控股,19529000,19479000,-50000,3.93,4.0,0.07,減少
8046,南電,9634000,9624000,-10000,4.03,3.97,-0.06,減少
3665,貿聯-KY,4616848,4615848,-1000,3.48,3.55,0.07,減少
2303,聯電,87718000,87518000,-200000,3.51,3.53,0.02,減少
6274,台燿,5499000,5498000,-1000,2.86,2.88,0.02,減少
5274,信驊科技,484900,410900,-74000,2.78,2.27,-0.51,減少
6805,富世達,2265000,2264000,-1000,1.49,1.42,-0.07,減少
2449,京元電子,11295450,11275450,-20000,0.9,0.93,0.03,減少
8210,勤誠興業,2497000,2477000,-20000,0.86,0.85,-0.01,減少
2368,金像電,3000000,2000000,-1000000,1.08,0.73,-0.35,減少
6510,精測,478000,477000,-1000,0.44,0.44,0.0,減少
8996,高力熱處理工業,1102000,1101000,-1000,0.44,0.44,0.0,減少
3264,欣銓科技,5918000,5917000,-1000,0.42,0.43,0.01,減少
6187,萬潤,1133000,833000,-300000,0.48,0.38,-0.1,減少
4958,臻鼎-KY,1682000,1645000,-37000,0.27,0.26,-0.01,減少
2360,致茂電子,622000,294000,-328000,0.48,0.22,-0.26,減少
6278,台表科,3250000,3249000,-1000,0.19,0.2,0.01,減少
6271,同欣電,2224000,2223000,-1000,0.15,0.15,0.0,減少
3376,新日興,1741000,1741000,0,0.11,0.11,0.0,無變化
2002,中鋼,5163000,5163000,0,0.03,0.03,0.0,無變化
4966,譜瑞-KY,140000,140000,0,0.03,0.03,0.0,無變化
1590,亞德客-KY,1000,1000,0,0.0,0.0,0.0,無變化
2313,華通,1000,1000,0,0.0,0.0,0.0,無變化
2317,鴻海精密工業,1000,1000,0,0.0,0.0,0.0,無變化
2382,廣達電腦,1000,1000,0,0.0,0.0,0.0,無變化
2408,南亞科技,1000,1000,0,0.0,0.0,0.0,無變化
2439,美律,1000,1000,0,0.0,0.0,0.0,無變化
2481,強茂,5000,5000,0,0.0,0.0,0.0,無變化
3008,大立光,1000,1000,0,0.0,0.0,0.0,無變化
3443,創意,1000,1000,0,0.0,0.0,0.0,無變化
3661,世芯-KY,1000,1000,0,0.0,0.0,0.0,無變化
5347,世界先進,1000,1000,0,0.0,0.0,0.0,無變化
6488,環球晶,1000,1000,0,0.0,0.0,0.0,無變化
6515,穎崴科技,1000,1000,0,0.0,0.0,0.0,無變化
8150,南茂科技,1000,1000,0,0.0,0.0,0.0,無變化
8358,金居,1000,1000,0,0.0,0.0,0.0,無變化
